tags: darakwon 12-과

[sound:계절.mp3]	계절<p class="small">(봄 &lt; 여름 &lt; 가을 &lt; 겨울)</p>	saison<p class="small">(printemps &lt; été &lt; automne &lt; hiver)</p>
[sound:날씨가_흐려요.mp3]	날씨가 흐려요<div class="활용"><div class="bloc"><div class="부정사">흐리다</div></div><div class="bloc"><div class="현재">흐려요</div><div class="과거">흐렸어요</div><div class="미래">흐릴 거예요</div></div><div class="bloc"><div class="연결">흐리고</div><div class="연결">흐리지만</div><div class="연결">흐린데</div><div class="연결">흐리면</div></div></div>	le temps est nuageux

[sound:바람.mp3]	바람	vent
[sound:바람이_불다.mp3]	바람이 불다	y avoir du vent<p class="small">(météo, litt. “le vent souffle”)</p>
[sound:바람이_불어요.mp3]	바람이 불어요<div class="활용"><div class="bloc"><div class="부정사">불다</div></div><div class="bloc"><div class="현재">불어요</div><div class="과거">불었어요</div><div class="미래">불 거예요</div></div><div class="bloc"><div class="연결">불고</div><div class="연결">불지만</div><div class="연결">부는데</div><div class="연결">불면</div></div></div>	il y a du vent<p class="small">(météo, litt. “le vent souffle”)</p>

[sound:눈.mp3]	눈	neige
[sound:눈이_오다.mp3]	눈이 오다	neiger<p class="small">(météo, litt. “la neige vient”)</p>
[sound:눈이_와요.mp3]	눈이 와요<div class="활용"><div class="bloc"><div class="부정사">오다</div></div><div class="bloc"><div class="현재">와요</div><div class="과거">왔어요</div><div class="미래">올 거예요</div></div><div class="bloc"><div class="연결">오고</div><div class="연결">오지만</div><div class="연결">오는데</div><div class="연결">오면</div></div></div>	il neige<p class="small">(météo, litt. “la neige vient”)</p>

[sound:비.mp3]	비	pluie
[sound:비가_오다.mp3]	비가 오다	pleuvoir<p class="small">(météo, litt. “la pluie vient”)</p>
[sound:비가_와요.mp3]	비가 와요<div class="활용"><div class="bloc"><div class="부정사">오다</div></div><div class="bloc"><div class="현재">와요</div><div class="과거">왔어요</div><div class="미래">올 거예요</div></div><div class="bloc"><div class="연결">오고</div><div class="연결">오지만</div><div class="연결">오는데</div><div class="연결">오면</div></div></div>	il pleut<p class="small">(météo, litt. “la pluie vient”)</p>


[sound:을래요.mp3]	-(으)ㄹ래요?	suggérer à l'interlocuteur de faire qq chose, <span class="em">pas nécessairement ensemble</span> (voulez-vous, voudriez-vous, que diriez-vous de)
